HITId,Input.text,positive_label,negative_label
3ZLW647WAL3BBVS75VH11OT9IMX32X,"Want to work in #Mashpee, MA? View our latest opening: https://t.co/1ycLgJXdJ3 #Retail #Job #Jobs #Hiring #CareerArc",general internet community,family
34XASH8KLQU8PO1NDBXST0A8TN5PML,Oh my fucking god bein sports fucking sucks,friends,specific organization
3OWZNK3RYLXVAP5QKFD2OXJ9VZH2U4,My thoughts exactly.  https://t.co/eOjHiSEPs6,friends,specific organization
341H3G5YF0M50EWMBF8WM1590JAZ04,I wanna go fishing,friends,specific organization
3V7ICJJAZAOQH4B7O2FVCMOJQS54BK,Great shirt. https://t.co/B4A2gGLK3c,general internet community,specific organization
3OCZWXS7ZOFKQW1JTKNZVHQ22IF5LE,"Can you recommend anyone for this #Writing #job? https://t.co/x32eXdMrWp #SaintCharles, IL #Hiring",general internet community,family
3KL228NDMVU7MN8LPGUPKE4C3RNKG7,"See our latest #Kremmling, CO #job and click to apply: Medical Technologist (MT) /... - https://t.co/TPzbRq0AwM https://t.co/C0NOZEPSx3",coworkers,family
3P520RYKCHEN9MOD2YF0M4MLF985U8,@KelcieGidleyxox YEAH LIKE HES MY MAN,friends,family
3S8A4GJRD3BJ55DRC7ZAAW24PBR6VD,gotta let them females knowww jojoooo  https://t.co/npCAgG4zJL,friends,specific organization
3JAOYN9IHLA0WDOQ9VV6KYY1O0X338,I don't know what the fuck is going on.,friends,family
3B0MCRZMBR2EARY05RPKA443YSGPPH,Bae where ya @,friends,family
389A2A304OQSSLLCJ1OOB34OR1Q0C8,"I'm at WSU Student Center in Detroit, MI https://t.co/YAQHIK6imT",friends,coworkers
3MJ28H2Y1EGSWH4G6C3RNYUWXNK5OV,"#Cabot, AR #Healthcare : Independent Nurse Practitioner, Urgent Care Specialist at MedExpress https://t.co/3gkH9F7BII #nurse #ArkansasJobs",specific organization,friends
33P2GD6NRN0LMJ3W9MC75EGDIR0HK3,YES YES YESSSSSS https://t.co/ARukh7iNLr,general internet community,coworkers
31MBOZ6PAOZ5PHAY8UA79NWCUZ0CLS,@ducci46 @LOYALFAN1 @JeanetteEliz @memva @jumasa85 @Deli60Ros @inghever @YNHallak @trcas @Alpha2468  Gorgeous Beautiful Dolphins!,friends,general internet community
32W3UF2EZOT9R93D22BQN6U18D54CR,"@JKempEnergy Not freezing is so nice, let's meet about it twice  https://t.co/RwUAjalwOt",specific organization,friends
3K3G488TR2GVHTHWLPVVC3PWCO25Q3,"@LeslieRubinWCHS he'll be in a luxuries prison, probably some where it's warm, Florida. Will be living more comfortable than majority of WVs",friends,specific organization
3D17ECOUOE34MAABMRHNW5J4QGJ31G,I'm so excited to leave for Chicago in the morning,friends,specific organization
35A1YQPVFEOI0VTD8HQM31YALEL5I0,Being called bud pisses me of so much for some reason,general internet community,specific organization
39AYGO6AFFS6X04IAGDJ0F8R38PN6D,@brandy_leighann yes!! Just got the word,friends,specific organization
30EV7DWJTV309Z8WHIMUHV6Y7ST6YM,@catlyncrespo uhm On my way!,friends,specific organization
3DFYDSXB2W8VGL3YR0JUNE5QXA2UJI,@Cjhurtado1 I was actually thinking that but it's all the way in SLC &amp; I don't have the patience,friends,specific organization
3JTPR5MTZSK96QJ18KBYGHDNDIA5KB,"@DonnaLeinwand @USATODAY personally because of the ""Political nature of this"" I call for a boycott of it... as 4 me give me 2 $10's instead!",specific organization,coworkers
